Country,Pop. Density (mile)
Afghanistan ,48
Albania ,124.6
Algeria ,13.8
American Samoa ,290.4
Andorra ,152.1
Angola ,9.7
Anguilla ,132.1
Antigua & Barbuda ,156
Argentina ,14.4
Armenia ,99.9
Aruba ,372.5
Australia ,2.6
Austria ,97.7
Azerbaijan ,91.9
"Bahamas, The ",21.8
Bahrain ,1050.5
Bangladesh ,1023.4
Barbados ,649.5
Belarus ,49.6
Belgium ,340
Belize ,12.5
Benin ,69.8
Bermuda ,1241
Bhutan ,48.5
Bolivia ,8.2
Bosnia & Herzegovina ,88
Botswana ,2.7
Brazil ,22.1
British Virgin Is. ,151
Brunei ,65.8
Bulgaria ,66.6
Burkina Faso ,50.7
Burma ,69.8
Burundi ,290.7
Cambodia ,76.7
Cameroon ,36.5
Canada ,3.3
Cape Verde ,104.4
Cayman Islands ,173.4
Central African Rep. ,6.9
Chad ,7.7
Chile ,21.3
China ,136.9
Colombia ,38.3
Comoros ,318.4
"Congo, Dem. Rep. ",26.7
"Congo, Repub. of the ",10.8
Cook Islands ,89.1
Costa Rica ,79.8
Cote d'Ivoire ,54.8
Croatia ,79.5
Cuba ,102.7
Cyprus ,84.8
Czech Republic ,129.8
Denmark ,126.5
Djibouti ,21.2
Dominica ,91.4
Dominican Republic ,188.5
East Timor ,70.8
Ecuador ,47.8
Egypt ,78.8
El Salvador ,324.3
Equatorial Guinea ,19.3
Eritrea ,39.5
Estonia ,29.3
Ethiopia ,66.3
Faroe Islands ,33.8
Fiji ,49.6
Finland ,15.5
France ,111.3
French Guiana ,2.2
French Polynesia ,65.9
Gabon ,5.3
"Gambia, The ",145.3
Gaza Strip ,3968.8
Georgia ,66.9
Germany ,230.9
Ghana ,93.6
Gibraltar ,3989.7
Greece ,81
Greenland ,0
Grenada ,260.8
Guadeloupe ,254.4
Guam ,316.1
Guatemala ,112.9
Guernsey ,838.6
Guinea ,39.4
Guinea-Bissau ,39.9
Guyana ,3.6
Haiti ,299.4
Honduras ,65.4
Hong Kong ,6355.7
Hungary ,107.3
Iceland ,2.9
India ,333.2
Indonesia ,127.9
Iran ,41.7
Iraq ,61.3
Ireland ,57.8
Isle of Man ,131.9
Israel ,305.8
Italy ,193
Jamaica ,250.9
Japan ,337.4
Jersey ,785.2
Jordan ,64
Kazakhstan ,5.6
Kenya ,59.6
Kiribati ,130
"Korea, North ",191.8
"Korea, South ",496
Kuwait ,135.7
Kyrgyzstan ,26.3
Laos ,26.9
Latvia ,35.2
Lebanon ,372.5
Lesotho ,66.6
Liberia ,27.3
Libya ,3.4
Liechtenstein ,212.4
Lithuania ,55
Luxembourg ,183.5
Macau ,16183
Macedonia ,80.9
Madagascar ,31.7
Malawi ,109.8
Malaysia ,74
Maldives ,1196.7
Mali ,9.5
Malta ,1266.5
Marshall Islands ,5.1
Martinique ,396.5
Mauritania ,3.1
Mauritius ,608.3
Mayotte ,538.1
Mexico ,54.5
"Micronesia, Fed. St. ",153.9
Moldova ,132
Monaco ,16271.5
Mongolia ,1.8
Montserrat ,92.5
Morocco ,74.4
Mozambique ,24.6
Namibia ,2.5
Nauru ,632.7
Nepal ,192.2
Netherlands ,397.1
Netherlands Antilles ,231
New Caledonia ,11.5
New Zealand ,15.2
Nicaragua ,43
Niger ,9.9
Nigeria ,142.7
N. Mariana Islands ,172.9
Norway ,14.2
Oman ,14.6
Pakistan ,206.2
Palau ,44.9
Panama ,40.8
Papua New Guinea ,12.3
Paraguay ,16
Peru ,22
Philippines ,298.2
Poland ,123.3
Portugal ,114.8
Puerto Rico ,284.8
Qatar ,77.4
Reunion ,312.9
Romania ,93.9
Russia ,8.4
Rwanda ,328.4
Saint Helena ,18.2
Saint Kitts & Nevis ,149.9
Saint Lucia ,273.5
St Pierre & Miquelon ,29
Saint Vincent and the Grenadines ,303
Samoa ,60.1
San Marino ,479.5
Sao Tome & Principe ,193.2
Saudi Arabia ,13.8
Senegal ,61.1
Serbia ,106.3
Seychelles ,179.2
Sierra Leone ,83.7
Singapore ,6482.2
Slovakia ,111.4
Slovenia ,99.2
Solomon Islands ,19.4
Somalia ,13.9
South Africa ,36.2
Spain ,80
Sri Lanka ,308.2
Sudan ,16.5
Suriname ,2.7
Swaziland ,65.5
Sweden ,20
Switzerland ,182.2
Syria ,102
Taiwan ,640.3
Tajikistan ,51.2
Tanzania ,39.6
Thailand ,125.7
Togo ,97.7
Tonga ,153.3
Trinidad & Tobago ,207.9
Tunisia ,62.2
Turkey ,90.2
Turkmenistan ,10.3
Turks & Caicos Is ,49.2
Tuvalu ,454.2
Uganda ,119.5
Ukraine ,77.4
United Arab Emirates ,31.4
United Kingdom ,247.6
United States ,31
Uruguay ,19.5
Uzbekistan ,61
Vanuatu ,17.1
Venezuela ,28.2
Vietnam ,256.1
Virgin Islands ,56.9
Wallis and Futuna ,58.5
West Bank ,419.9
Western Sahara ,1
Yemen ,40.6
Zambia ,15.3
Zimbabwe ,31.3
